##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	14-15	-0.12871780619662587
1103	16-17	-0.16280290741404002
1103	18-19	-0.060155265150193316
1103	20-21	0.0593408980764778
1103	22-23	-0.015427074408798092
1103	24-25	-0.05061677939283271
1103	26-27	-0.01996019642005109
1103	28-29	-0.12761662675857366
1103	30-31	-0.15474652223979035
1103	32-33	-0.07975719021271033
1103	34-35	-0.3871319343131603
1103	36-37	-0.35654199401108144
1103	38-39	-0.3455361701039408
1103	40-41	-0.238535048884998
1103	42-43	-0.31805293508201515
1103	44-45	-0.24025862546921672
1103	46-47	-0.20962321832035258
1103	48-49	-0.26003755083813473
1103	50-51	-0.4000501593945671
1103	52-53	-0.40974238288068676
1103	54-55	-0.368369809161905
1103	56-57	-0.3600717812362646
1103	58-59	-0.394554107199518
1103	60-61	-0.4537277645159321
1103	62-63	-0.39096736938634535
1103	64-65	-0.4280819167264198
1103	66-67	-0.2828415336582424
1103	68-69	-0.2233118080735892
1103	70-71	-0.20106267382356435
1103	72-73	-0.18189231675748374
1103	74-75	-0.21157624721670487
1103	76-77	-0.35336958699851806
1103	78-79	-0.2109208863893528
1103	80-81	-0.1015514367094923
1103	82-83	-0.07336083817764205
1103	84-85	-0.04027276728950113
1103	86-87	-0.10099241790160107
1103	88-89	0.13591251975019958
1103	90-91	0.11123636412033733
1103	92-93	0.24369681114917796
1103	94-95	0.18900476721177029
1103	96-97	0.14717125082867
1103	98-99	0.27792740294398044
1103	100-101	0.007505336685284192
1104	1	-1.5760906368191918
1104	2	-0.16381924044361895
1104	3	-0.48920843215690013
1104	4	-0.11199646764531224
1104	5	0.12534528883057305
1104	6	0.145180742821303
1104	7	0.10647739891211216
1104	8	0.1994530198336406
1104	9	-0.07385536220574807
1104	10-11	-0.12922531054475428
1104	12-13	-0.10537220640213718
1104	14-15	-0.12536404191268247
1104	16-17	-0.13654954774903416
1104	18-19	0.038264903381183046
1104	20-21	0.18911320779019292
1104	22-23	-0.015647112926707507
1104	24-25	0.06477854932527549
1104	26-27	-0.04517640837123338
1104	28-29	-0.023439553304264393
1104	30-31	-0.10156375656991656
1104	32-33	-0.01079041535704306
1104	34-35	-0.07784730322522648
1104	36-37	-0.05327812509077745
1104	38-39	-0.13545764623739842
1104	40-41	-0.2897419747555574
1104	42-43	-0.29388816568047105
1104	44-45	-0.12415550401669861
1104	46-47	-0.18713394359574664
1104	48-49	-0.16936809048876
1104	50-51	-0.29313363913266244
1104	52-53	-0.3391972529642331
1104	54-55	-0.3266866331543099
1104	56-57	-0.27852301268901414
1104	58-59	-0.4251504244018989
1104	60-61	-0.3999887608055843
1104	62-63	-0.2572448645869372
1104	64-65	-0.2623630859770998
1104	66-67	-0.16883678191148732
1104	68-69	-0.17353961703560117
1104	70-71	-0.14917185459719207
1104	72-73	-0.17942112954330014
1104	74-75	-0.11117849628963938
1104	76-77	-0.3430226192541994
1104	78-79	-0.16643625316508803
1104	80-81	-0.02019543941948143
1104	82-83	-0.02895232676706172
1104	84-85	-0.0010240410666568778
1104	86-87	-0.008460879221559026
1104	88-89	0.07177873674083202
1104	90-91	0.30529455756509805
1104	92-93	0.38681364657063
1104	94-95	0.35713044561658336
1104	96-97	0.26565361354158057
1104	98-99	0.4543087009629332
1104	100-101	0.22328466325654972
1105	1	-1.7535264140663216
1105	2	-0.1723138345966575
1105	3	-0.4475733749170345
1105	4	-0.2113796820305609
1105	5	0.19845462903015232
1105	6	0.13837560308472518
1105	7	0.02805256474827189
1105	8	0.1751259991037628
1105	9	0.04691957481233544
1105	10-11	-0.07725103266705702
1105	12-13	-0.12798084932686749
1105	14-15	-0.09154877869892175
1105	16-17	-0.11021012011082831
1105	18-19	-0.022245906694060125
1105	20-21	0.16115417902176432
1105	22-23	-0.022853151862584298
1105	24-25	-0.1257792144559815
1105	26-27	-0.15651465528249986
1105	28-29	-0.08503053418514384
1105	30-31	-0.11106166118643301
1105	32-33	-0.071432230219024
1105	34-35	-0.13062653647897093
1105	36-37	-0.1269832953537815
1105	38-39	-0.10563483184645861
1105	40-41	-0.11727165372214898
1105	42-43	-0.13871234504591712
1105	44-45	-0.06392440692323476
1105	46-47	-0.294966131311277
1105	48-49	-0.19766156332077145
1105	50-51	-0.16476339460587752
1105	52-53	-0.25353691329319616
1105	54-55	-0.29324978137895386
1105	56-57	-0.15269681398348922
1105	58-59	-0.30145087694820916
1105	60-61	-0.34256155072181116
1105	62-63	-0.48144235668318913
1105	64-65	-0.4027688127228899
1105	66-67	-0.4219326393621827
1105	68-69	-0.347388257474897
1105	70-71	-0.28772317539811354
1105	72-73	-0.1722411568554847
1105	74-75	-0.16447824407603662
1105	76-77	-0.27114512817792047
1105	78-79	-0.19949399822826308
1105	80-81	0.12165061211580053
1105	82-83	-0.056518284684251796
1105	84-85	-0.11661763936647418
1105	86-87	-0.1817761816726602
1105	88-89	0.13994169730065664
1105	90-91	0.2036065975526924
1105	92-93	0.1632597085637002
1105	94-95	0.37082630677222284
1105	96-97	0.25129858070964417
1105	98-99	0.39197024211918574
1105	100-101	0.03314603440185948
1106	1	-1.548101731987444
1106	2	-0.2582371268528689
1106	3	-0.26556253901582494
1106	4	-0.06640967497739325
1106	5	0.14576889976612506
1106	6	0.10281834861977757
1106	7	-0.060200052284969274
1106	8	0.004094462242363761
1106	9	-0.10338653617802152
1106	10-11	-0.019178153424199706
1106	12-13	-0.06919490297750741
1106	14-15	0.03407141420371573
1106	16-17	0.0032110635853470626
1106	18-19	0.04114673720008
1106	20-21	0.18051812672290168
1106	22-23	0.11892159378562894
1106	24-25	-0.03278804061135787
1106	26-27	0.009955967268702182
1106	28-29	0.03946447876340642
1106	30-31	0.017779692869730468
1106	32-33	-0.02710259342492094
1106	34-35	-0.17237933494702418
1106	36-37	-0.2055597726949756
1106	38-39	-0.09071939017780295
1106	40-41	-0.17037341334714995
1106	42-43	-0.193959729710798
1106	44-45	-0.08993544383088903
1106	46-47	-0.14111627777620583
1106	48-49	-0.23984498323684278
1106	50-51	-0.2794313377491022
1106	52-53	-0.09170974371304652
1106	54-55	-0.25625882627772256
1106	56-57	-0.2500671349803909
1106	58-59	-0.14970146616179392
1106	60-61	-0.18387636345406122
1106	62-63	-0.1794651715163056
1106	64-65	-0.28627180056322743
1106	66-67	-0.25352047122780164
1106	68-69	-0.23634513187593598
1106	70-71	-0.059571300055544896
1106	72-73	-0.024392888299423987
1106	74-75	-0.014698711986746105
1106	76-77	-0.2732047818955934
1106	78-79	-0.16450792222264
1106	80-81	0.02210880502756396
1106	82-83	0.019587293362214098
1106	84-85	-0.11186783762997976
1106	86-87	-0.09755542115716054
1106	88-89	0.22720651367545486
1106	90-91	0.25271919950717603
1106	92-93	0.3367961799668393
1106	94-95	0.38986180705543916
1106	96-97	0.2033548090501327
1106	98-99	0.3585832308854364
1106	100-101	0.22918184365190797
1107	1	-0.7471747914131583
1107	2	-0.0041999069155842506
1107	3	-0.21272218247102614
1107	4	-0.0038551013906200637
1107	5	0.23919635030004116
1107	6	0.3057385434955151
1107	7	0.20416893394691016
1107	8	0.28410240021862876
1107	9	0.2162079312738996
1107	10-11	0.17835982473213363
1107	12-13	0.21244421005643233
1107	14-15	0.21933082948163474
1107	16-17	0.19274919038108607
1107	18-19	0.2044062726545306
1107	20-21	0.2756820174697836
1107	22-23	0.1908520716612898
1107	24-25	0.24093466468890057
1107	26-27	0.29125341525676873
1107	28-29	0.2242324510848519
1107	30-31	0.27039788095549255
1107	32-33	0.21418679008527874
1107	34-35	0.14558572846981122
1107	36-37	0.22378298817111641
1107	38-39	0.16946705738806855
1107	40-41	0.14366877177847215
1107	42-43	0.10762258409859271
1107	44-45	0.20337418626257175
1107	46-47	0.16709106785624783
1107	48-49	0.15303022450252968
1107	50-51	0.14137511003815462
1107	52-53	0.1646297423425196
1107	54-55	0.15562792947770987
1107	56-57	0.14172453899964665
1107	58-59	0.14144599835054095
1107	60-61	0.18591117708575666
1107	62-63	0.20030729951878357
1107	64-65	0.15080514246202625
1107	66-67	0.18165646499798527
1107	68-69	0.09303055103511326
1107	70-71	0.18200230095519743
1107	72-73	0.3687449367899589
1107	74-75	0.30596983322887894
1107	76-77	0.18266231550907008
1107	78-79	0.3393721668977463
1107	80-81	0.45423487021068354
1107	82-83	0.35839549003426896
1107	84-85	0.44233000773127884
1107	86-87	0.43034874754539487
1107	88-89	0.6540267533011317
1107	90-91	0.606308445604995
1107	92-93	0.8113891531184549
1107	94-95	0.848286466647501
1107	96-97	0.750778287433377
1107	98-99	0.99597609587817
1107	100-101	0.6919733705738267
1108	1	-0.5466636074164661
1108	2	0.05889921657712094
1108	3	-0.0974301790219485
1108	4	0.04999373176855926
1108	5	0.16796287379220587
1108	6	0.1699539445587135
1108	7	0.2484961525920042
1108	8	0.23785293633952165
1108	9	0.14046602502051542
1108	10-11	0.11101696971265795
1108	12-13	0.08986198321393601
1108	14-15	0.06769410052196889
1108	16-17	0.13150310663787934
1108	18-19	0.06640126915798561
1108	20-21	0.15053650149987874
1108	22-23	0.14473569111977014
1108	24-25	0.1781045373361252
1108	26-27	0.17070205465133625
1108	28-29	0.20663370858495256
1108	30-31	0.18214790490744548
1108	32-33	0.22886084201311974
1108	34-35	0.061857854928973666
1108	36-37	0.05338030877544497
1108	38-39	0.055725376775541235
1108	40-41	0.005051806988291219
1108	42-43	-0.06406694661318824
1108	44-45	0.07833918059021272
1108	46-47	0.027031667004365545
1108	48-49	0.0391871756288964
1108	50-51	0.021884413694344573
1108	52-53	0.017243926019553157
